field_name;field_label_en;field_label_ar
Date_of_Visit;Date of Visit;تاريخ الزيارة
Organization_visit;Organization undertaking the visit;المنظمة التي تقوم بالزيارة
Other_Organization_visit;Specify name of the other organization undertaking the visit;تحديد اسم المنظمة الأخرى التي تقوم بالزيارة
Name_of_Assessor;Name of Assessor;اسم المقيم
Gender_Assessor;Gender of Assessor;جنس المقيم
Contact_number_Assessor;Contact number of Assessor;رقم الهاتف
Governorate;Governorate;المحافظة
District;Name of District; القضاء
cadaster;Name of Cadaster;المنطقة/البلدة
IDP_Collective_shelter_center;Specify the IDP Collective shelter center;حدد مركز المأوى الجماعي للنازحين
IDP_center_label;IDP_center_label;IDP_center_label
Site_Pcode;Site Pcode;اسم الموقع
site_capacity;Maximum total number of people the site can accommodate;لحد الأقصى لعدد الأشخاص الذين يمكن للموقع استيعابهم
location;Get GPS Location;تحديد احداثيات الموقع (GPS) للمواقع 
cadlab;Cadaster label;اسم المنطقة
latitude_s;latitude;latitude
longitude_s;longitude;longitude
locationcalculation;locationcalculation;locationcalculation
Total_HH_site;Total number of  families on site:;عدد الأسر في الموقع:
Male_0_5m;Male children (0-5 months);الأطفال الذكور (0-5 اشهر)
Female_0_5m;Female children (0-5 months);الأطفال الإناث (0-5 اشهر)
Male_6_12m;Male children (6-12 months);الأطفال الذكور (6-12 اشهر)
Female_6_12m;Female children (6-12 months);الأطفال الإناث (6-12 اشهر)
Male_1_2;Male children (1-2 years);الأطفال الذكور (2-1 سنوات)
Female_1_2;Female children (1-2 years);الأطفال الإناث (2-1 سنوات)
Male_2_5;Male children (2-5 years);الأطفال الذكور (2-5 سنوات)
Female_2_5;Female children (2-5 years);الأطفال الإناث (2-5 سنوات)
Male_6_12;Male Children (6-12 years);الأطفال الذكور (6-12 سنة)
Female_6_12;Female Children (6-12 years);الأطفال الإناث (6-12 سنة)
Male_13_17;Male youth (13-17 years);الشباب الذكور (13-17 سنة)
Female_13_17;Female youth (13-17 years);الشابات (13-17 سنة)
Male_18_59;Male Adults (18-59 years);الذكور البالغين (18-59 سنة)
Female_18_59;Female Adults (18-59 years);الإناث البالغات (18-59 سنة)
Male_60;Male Elderly (60+ years);كبار السن الذكور (60+ سنة)
Female_60;Female Elderly (60+ years);كبار السن  الإناث (60+ سنة)
Total_Ind_site;Total number of  individuals on site:;إجمالي عدد الأفراد في الموقع:
Total_Ind_Male_site;Total number of Male on site:;لعدد الإجمالي للذكور في الموقع:
