formatted_name;icon_file_name;traffic_light_name;thematic_label_en;thematic_label_ar
Site_information;About;mean;Site Information;القسم 2 -تفاصيل الموقع
Demographics;People-in-need;mean;Demographics;تعداد السكان
Site_Management;Camp-Coordination-and-Camp-Management;mean;Site Management;إدارة الموقع
Basic_Assistance;Non-food-items;mean;Basic Assistance;مواد الإغاثة الأساسية غير الغذائية
Food_safety_security;Food-Security;mean;Food safety and security ;سلامة الأغذية والأمن 
Shelter;Shelter;mean;Shelter;المأوى
WASH;Water-Sanitation-and-Hygiene;mean;WASH;المياه والصرف الصحي والنظافة الصحية
Protection;Protection;mean;Protection ;حماية
Health;Health;mean;Health;الصحة
Nutrition;Nutrition;mean;Nutrition;التغذية
Education;Education;mean;Education;تعليم
