formatted_name;icon_file_name;traffic_light_name;thematic_label_en;thematic_label_ro
group_general_info;About;;General;General
group_cccm;Camp-Coordination-and-Camp-Management;;Temporary Shelter Sites Management;Gestionarea locurilor de adăpost temporar
group_demo;People-in-need;;Demographic distribution;Distribuția demografică
group_wash;Water-Sanitation-and-Hygiene;;Water, sanitation and hygiene;Apă, canalizare și igienă
group_fs;Food-Security;;Food Security;Securitatea alimentară
group_health;Health;;Health;Sănătate
group_education;Education;;Education;Educație
group_vulpop;Elderly;;Vulnerable population;Populația vulnerabilă
group_nonfood;Non-food-items;;Non-food items;Articole nealimentare
group_nutrition;Nutrition;;Nutrition;Nutriție
