choice_name,choice_label_en
cccmact1,Allocation of shelter
cccmact10,Hygiene promotion session
cccmact11,Camp Coordination activities
cccmact12,Camp Management activities
cccmact13,Complaint/information desk
cccmact14,Registration of new arrivals
cccmact15,Community led sensitization
cccmact2,Safety mapping and safety mapping
cccmact3,Sanitation led by the community
cccmact4,Sensitization on CFM
cccmact5,Fire sensitization
cccmact6,COVID-19 sensitization
cccmact7,Points of Entry (PoE) COVID-19 screening.
cccmact8,Committees meeting
cccmact9,GBV awareness raising session
other,Other
no,No
yes,Yes
cp_cfs,Child Friendly Spaces
cp_mhpss,MHPSS services
none,None
other,Other
distancex1,< 1km
distancex2,1 - 5km
distancex3,6 - 10km
distancex4,>10km
classroom,"Classroom construction, rehabilitation or reopened"
extra_curricular,"Extra curricular activities - sports, etc"
learning_supplies,Distribution of learning supplies
none,None
other,Other
teacher_training,Training of teachers
cashwork,Employment through Cash-for-Work activities
coheshionerl,IDPs have access to social cohesion security activities
none,None
other,Other
recoerl,IDPs have access to community reconciliation activities
sbusiness,Support to establish or scale up small businesses
gbv_case_mgt,GBV case management
gbv_cmr,Clinical Management of Rape (CMR) offered at health facility
gbv_mhpss,MHPSS services
gbv_referral,Functional GBV referral pathways
gbv_wgyfs,"Women, girls and youth friendly spaces"
none,None
other,Other
legal_documentation,"Access to legal documentation, advice and services"
mine_risk,Mine risk education
none,None
other,Other
referral_prot,Referral mechanisms to protection services
screening,"Sreening, registration and monitoring of vulnerable groups"
tranining_prot,Trainings on protection principles
curfew,Curfew
militarysearch,Military search
fear,Fear of attack
no_safe_space,No safe space or caseworker
conflict,Fear due to the ongoing conflict
essential_meds,Distribution of essential medicines and equipments
establishmenths,Establishment of health structure
food_distribut,Food distribution
latrine,Latrine area
waterpoint,Water points
fence,Fence or camp boundary
marketarea,Market area
entry,Gate or Camp entry point
medical_referr,Medical referrals
none,None
other_health,Other
vaccination,Vaccination
malaria,Malaria
typhoid,Typhoid
skin_disease,Skin Disease
cough,Cough
diarrhea,Diarrhea
flu,Flu
pneumonia,Pneumonia
insuf_medi,Insufficient medicines at the health facility
money,Money related constraint
queue,Long waiting time on queue
health_workers,Unavailability of health workers.
fire,Fire
flooding,Flooding
influx,Influx
other,Other
AgriculturalInput,Agricultural input
BusinessGrants,Business grants
CashForWork,Cash for work
OtherSources,Other
VocationalInput,Vocational input
none,None
blanketsMats,Blankets/Mats
bucket/Jerrycan,Bucket/Jerry Can
kitchenSets,Kitchen Sets
mosquitoNets,Mosquito Nets
sheeting,Plastic Sheeting
soap,Soap
over_6months,> 6 months
within_1month,within the last 1 month
within_2months,within the last 2 months
within_3month,within the last 3 months
cash_nutrition,Cash assistance for prevention of malnutrition
none,None
other,Other
supplementary1,Supplementary Feeding for children
supplementary2,Supplementary feeding for pregnant and lactating mothers
supplementary3,Screening and supplementary feeding for malnourished children
acted,ACTED
boaid,BOAID
ggsi,GGSI
greencode,GREENCODE
haraf,HARAF
hope360,HOPE 360
intersos,INTERSOS
iom,IOM
loc-din,LOC-DIN
nrc,NRC
ppgw,PPGW
pride,PRIDE
saf,SAF
salient,SALIENT
shi,SHI
unhcr,UNHCR
ypho,YPHO
aun,American University of Nigeria
bac,Borno Action Coalition
bisa,Borno Islamiyya Schools Association
cai,Creative Associates International
caritas,Catholic Caritas Foundation of Nigeria
cfl,Care for Life Mission
chad,Centre for Community Health & Development
cidar,Centre for Integrated Development and Research
coopi,Cooperazione Internazionale
cri,Community Reachout Initiative
csfn,Communual Support Foundaton of Nigeria
ecr,Education Crisis Response
gccd,Gammun Centre for Care and Development
gddc,Gammu
geidamjin,GEIDAMJIN Foundation
gepadc,"Gender Equality, Peace and Development Centre"
gon,GOALPrime Organization Nigeria
haraf,Hope and Rural Aid Foundation
hcdi,Huda Community Development Initiative
hli,Hallmark Leadership initiative
iai,Integrated Aid Initiative
icad,International Centre for Accelerated Development
ican,International Civil Society Action Fund
iom,IOM
irc,IRC
kabhuda,Kanem Borno Human Development Association
