partner;url
cccm;https://cccmcluster.org
acted;https://www.acted.org
boaid;https://www.acted.org
care_aid;https://careaidsupportinitiative.org/
ggsi;http://ggsisuccour.org/
haraf;https://www.haraf.org.ng/
greencode;https://www.greencodeng.org/
hope_360;https://www.hope360initiative.org.ng/360
intersos;https://www.intersos.org
iom;https://www.iom.int
loc-din;https://loc-din.org.ng
nrc;https://www.nrc.no
palri;
ppgw;
pride;https://www.pride-ng.org
sheriff_aid_foundation;https://www.sheriffaidfoundation.org/
salient;https://salientho.org
shi;https://shiinternational.org/
unhcr;https://www.unhcr.org
ypho;
