traffic_light_name;type;value;color
yesno;string;Yes;green
yesno;string;No;red
noyes;string;Yes;red
noyes;string;No;green
biopercentage;math;<=25;red
biopercentage;math;<=50;orange
biopercentage;math;<=75;yellow
biopercentage;math;>75;green
nfidistrange;list;within_3month;orange
nfidistrange;list;within_2months;yellow
nfidistrange;list;within_1month;green
WaterWaitingTime;list;time1;green
WaterWaitingTime;list;time2;yellow
WaterWaitingTime;list;time3;orange
WaterWaitingTime;list;time4;red
dedicatedSfVsPopulation;math;<=2500;green
dedicatedSfVsPopulation;math;>2500;red
mobileSfVsPopulation;math;<=500;green
mobileSfVsPopulation;math;>500;red
TotalLatrinesVsIndidual;math;<=20;green
TotalLatrinesVsIndidual;math;>20 and <=25;yellow
TotalLatrinesVsIndidual;math;>25;red
TotalShowersVsIndidual;math;<=20;green
TotalShowersVsIndidual;math;>20 and <=25;yellow
TotalShowersVsIndidual;math;>25;red
DistanceToX;list;distancex1;green
DistanceToX;list;distancex2;green
DistanceToX;list;distancex3;orange
DistanceToX;list;distancex4;red
NumberHHLivingOutside;math;>=1;red
NumberHHLivingOutside;math;<1;green
NumberHHSharingShelter;math;>=1;red
NumberHHSharingShelter;math;<1;green
NumberTransitionaldamagedShelters;math;>=1;red
NumberTransitionaldamagedShelters;math;<1;green
TotalMalnutrition;math;>=1;red
TotalMalnutrition;math;0;green
NumberFemaleChildwithDisability;math;>=1;red
NumberFemaleChildwithDisability;math;0;green
NumberMaleChildwithDisability;math;>=1;red
NumberMaleChildwithDisability;math;0;green
NumberFemaleAdultswithDisability;math;>=1;red
NumberFemaleAdultswithDisability;math;0;green
NumberMaleAdultswithDisability;math;>=1;red
NumberMaleAdultswithDisability;math;0;green
NumberLitresppPerday;math;<15;red
NumberLitresppPerday;math;>=15;green
PartnerPresenceLivelihood;notnone;none;red
PartnerPresenceEducation;notnone;none;red
PartnerPresenceFoodSecurity;notnone;none;red
PartnerPresenceHealth;notnone;none;red
PartnerPresenceNutrition;notnone;none;red
PartnerPresenceProtection;notnone;none;red
PartnerPresenceShelter;notnone;none;red
PartnerPresenceWash;notnone;none;red
