field_name;field_label_en;field_label_ro
site_id;Site ID;ID-ul sitului
date_assessment;Date of assessment;data evaluÄƒrii
judet;County ;judetul
site_name;Site code;Codul site-ului
address_info;Site address ;Adresa site-ului
site_management;Management ;management
site_management_other;Management - Other type;Management - Alt tip
site_manage_name;Site manager;Manager de site
contact_info;Manager - contact information;Manager - informații de contact
site_ownership;Ownership status ;Statutul de proprietate
site_ownership_other;Ownership status - other;Statutul de proprietate - altul
gps_coordinates; GPS coordinates of the site; Coordonatele GPS ale site-ului
site_typology;Site type;Tipul site-ului
site_typology_other;Site type;Tipul site-ului
building_type;Building type;Tipul clădirii
building_type_other;Building type;Tipul clădirii
site_staff;Staff;Personal
population_groups;Population groups in site;Grupuri de populație în site
ukranian;Ukrainian refugees in site;Refugiați ucraineni la fața locului
num_ukranian;Ukrainian refugees in site;Refugiați ucraineni la fața locului
tcn;Third country nationals population in site;Populația de resortisanți ai țărilor terțe la fața locului
num_tcn;Third country nationals population in site;Populația de resortisanți ai țărilor terțe la fața locului
site_purpose;Site purpose;Scopul site-ului
site_purpose_other;Site purpose - other;Scopul site-ului - altul
geographic_context;Geographical constring ;Constrângere geografică
site_duration;Site duration;Durata site-ului
site_capacity;Site capacity;Capacitatea amplasamentului
hh_site;Household hosted in site;Gospodărie găzduită în site
ind_site;Individuals hosted in site;Persoane găzduite pe site
boys_0_17;Boys 0-17 years;Băieți 0-17 ani
num_boys_0_17;Boys 0-17 years;Băieți 0-17 ani
girls_0_17;Girls 0-17 years;Fete 0-17 ani
num_girls_0_17;Girls 0-17 years;Fete 0-17 ani
men_18_64;Men 18-64 years;Barbati 18-64 ani
num_men_18_64;Men 18-64 years;Barbati 18-64 ani
women_18_64;Women 18-64 years;Femei 18-64 ani
num_women_18_64;Women 18-64 years;Femei 18-64 ani
older_persons_60_plus;Older persons (65+);Persoane în vârstă (65+)
num_older_persons_60_plus;Older persons (65+);Persoane în vârstă (65+)
unaccompanied_older_persons;Presence of unaccompanied older persons;Prezența persoanelor vârstnice neînsoțite
vulnerable_groups;Vulnerable groups present at the site;Grupuri vulnerabile prezente pe site
vulnerable_groups_other;Vulnerable groups present at the site;Grupuri vulnerabile prezente pe site
referal_system;Referral system for services for people with specific medical needs ;Sistem de trimitere pentru servicii pentru persoane cu nevoi medicale specifice
referal_system_mechanisms;Referral system for services for people with specific medical needs ;Sistem de trimitere pentru servicii pentru persoane cu nevoi medicale specifice
stay_duration;Duration of people staying in site;Durata persoanelor care stau pe site
meals_available;Meals available;Mese disponibile
meals_available_other;Meals available;Mese disponibile
cooking_meals;Functioning kitchen ;Bucatarie functionala
site_need_food;Food products needs;Nevoile produselor alimentare
site_need_food_product;Food products needs;Nevoile produselor alimentare
site_need_food_product_other;Food products needs;Nevoile produselor alimentare
