formatted_name;icon_file_name;traffic_light_name;thematic_label_en;thematic_label_ro
site_overview;About;;Overview;Prezentare generală
site_information;Camp-Coordination-and-Camp-Management;;Information;Informații despre
site_food_products;Rice;;Food Products;Produse alimentare
site_babyfood_products;Children;;Babyfood Products;Produse alimentare pentru copii
site_cooking_eating_items;Salt;;Cooking and Eating items;Articole pentru gătit și mâncat
site_sleeping_items;Hospital-bed;;Sleeping items;Articole de dormit
site_hygiene_items;Sanitation;;Hygiene items;Articole de igienă
site_cleaning_items;Detergent;;Cleaning items;Articole de curățenie
site _supplies_infants_toddlers;Child-care-child-friendly;;Supplies for Infants and Toddlers;Articole pentru sugari și copii mici
site_clothes;User;;Clothes;Haine 
site_medical_supplies;Vaccine;;Medical Supplies;Materiale medicale
site_people_age_disabilities_supplies;People-with-physical-impairments;;People of Age and Disabilities Supplies;Suplimente pentru persoane de vârstă și cu dizabilități
site_needs_other_appliances;Bucket;;Needs other appliances;Nevoie de alte aparate
site_education_supplies;Testing;;Education supplies;Furnituri pentru educație
site_infrastructure_rehabilitation_information;Preparedness;;Infrastructure and Rehabilitation Information; Informații privind infrastructura și reabilitarea
site_wash;Health-worker;;WASH;WASH
site_services_information;Warning-Error;;Services Information;Informații privind serviciile
site_health;Health;;Health;Sănătate
site_education;School;;Education;Educație
site_additional_information;Chat;;Additional Information;Informații suplimentare
