field_name;field_label_en;field_label_fr;field_label_ar
country;Country;Pays;دولة
region;Region;Région;منطقة
dep;Department;Département;قسم
city;City;Commune;مدينة
address;Address;Adresse;عنوان
site_id;Site ID;Identifiant du site;معرف موقع دو
adm2_pcode;PCode Admin 2;Admin 2 PCode;مشرف كود الكمبيوتر 2
site_pcode;Site PCode;PCode du site;رمز PC للموقع
shelter_need_repair;In need of repair/maintenance (for emergency shelter, transitional shelter, buildings);Besoin de réparation/entretien (pour les abris d'urgence, les abris provisoires, les bâtiments);بحاجة إلى إصلاح/صيانة (لمأوى الطوارئ، والمأوى الانتقالي، والمباني)
shelter_need_replacement;In need of replacement (for emergency shelter, transitional shelter, makeshift shelter, tents);Besoin de remplacement (pour les abris d'urgence, les abris de transition, les abris de fortune, les tentes);بحاجة إلى استبدال (لمأوى الطوارئ، المأوى الانتقالي، المأوى المؤقت، الخيام)
shelter_need_reconstruction;In need of reconstruction (for public buildings, core housing/vacant building);Besoin de reconstruction (pour les bâtiments publics, les logements principaux/les bâtiments vacants);بحاجة إلى إعادة الإعمار (للمباني العامة، الإسكان الأساسي/المبنى الشاغر)
shelter_need_rehabilitation;In need of rehabilitation (for public buildings, core housing/vacant building);Besoin de réhabilitation (pour les bâtiments publics, les logements principaux et les bâtiments vacants);بحاجة إلى إعادة تأهيل (للمباني العامة، السكن الأساسي/المبنى الشاغر)
shelter_need_extension;In need of extension (overcrowded);Besoin d'extension (surpeuplement);في حاجة إلى تمديد (مكتظة)
shelter_need_new;In need of new shelter (new HHs);Besoin d'un nouvel abri (nouveaux ménages);بحاجة إلى مأوى جديد (أسر جديدة)
blanket_int;#Blankets;#Couvertures;#البطانيات
mattresses_int;#Mattress;#Matelas;#فراش
water_containers_buckets_int;#Water containers \buckets;#Bidons d'eau;#حاويات/دلاء مياه
kitchen_items_int;#Kitchen items;#Articles de cuisine;#مستلزمات المطبخ
hygiene_items_pct_int;#Hygiene items;#Articles d'hygiène;#مستلزمات النظافة
mosquito_nets_int;#Mosquito nets;#Moustiquaires;#شبكات البعوض
