field_name;field_label_en;field_label_fr;field_label_ar
site_id;ID;ID;بطاقة تعريف
adm1_pcode;adm1 pcode;adm1 pcode;كود adm1
adm2_pcode;adm2 pcode;adm2 pcode;كود adm2
latitude;Latitude;Latitude;خط العرض
longitude;Longitude;Longitude;خط الطول
General_Site_Type;General Site type;Généralités Type de site;نوع الموقع العام
Date_of_the_Monitoring_Visit;Date of visit;Date de la visite;موعد زيارة
round;Survey round ID;ID du tour d'enquête;معرف جولة المسح
Province_of_the_monitored_location;Province;Province;مقاطعة
Site_Location;Site Location;Emplacement du site;مكان الموقع
site_name;Name of the Site;Nom du site;اسم الموقع
Type_of_the_Site;Type of the Site;Type de site;نوع الموقع
Address_of_the_Site;Address of the Site;Adresse du site;عنوان الموقع
Hotline_or_Contact_Number_of_the_Site;Hotline or Contact Number of the Site;Numéro d'urgence ou de contact du site;الخط الساخن أو رقم الاتصال بالموقع
Does_Site_works_24_7;Does Site works 24/7?;Le site fonctionne-t-il 24 heures sur 24 et 7 jours sur 7 ?;هل يعمل الموقع 24/7؟
Select_working_days;Working days;Jours ouvrables;أيام العمل
Indicate_sites_working_Hours;Indicate sites working Hours;Indiquer les heures de travail du site;الإشارة إلى ساعات عمل المواقع
Sites_Capacity;Sites Capacity;Capacité des sites;سعة المواقع
Sites_managed_by;Sites managed by;Sites gérés par;المواقع التي يديرها
Name_of_the_Managing_Organisation;Name of the Managing Organisation;Nom de l'organisation gestionnaire;اسم المنظمة الإدارية
Are_the_volunteers_engaged;Are the volunteers engaged?;Les volontaires sont-ils engagés ?;هل المتطوعون منخرطون؟
Select_the_sectors_of_volunteers_engagement;Sector(s) of volunteers' engagement;Secteur(s) d'engagement des volontaires;قطاع (قطاعات) مشاركة المتطوعين
Number_of_volunteers_mobilised;Number of volunteers mobilised;Nombre de volontaires mobilisés;عدد المتطوعين الذين تم تعبئتهم
Who_is_managing_volunteers;Who is managing volunteers?;Qui gère les volontaires ?;من يدير المتطوعين؟
Are_there_interpreters_engaged;Are there interpreters engaged?;Des interprètes sont-ils engagés ?;هل يوجد مترجمين فوريين؟
Number_of_interpreters_engaged;Number of interpreters engaged?;Nombre d'interprètes engagés ?;عدد المترجمين الفوريين المشاركين؟
Are_procedures_for_identificaiton_and_referral_of_Unaccompanied_and_Separated_Children_in_place;Are procedures for identificaiton and referral of Unaccompanied and Separated Children in place?;Des procédures d'identification et d'orientation des enfants non accompagnés et séparés ont-elles été mises en place ?;هل توجد إجراءات لتحديد وإحالة الأطفال غير المصحوبين والمنفصلين عن ذويهم؟
Organizations_involved_in_identification_and_referral_of_UASCs;Organization(s) involved in identification and referral of UASCs;Organisation(s) impliquée(s) dans l'identification et l'orientation des UASC;المنظمة (المنظمات) المشاركة في تحديد وإحالة الأشخاص غير المصحوبين جنسيا
Are_family_tracing_services_available_at_the_site;Are family tracing services available at the site?;Des services de recherche des familles sont-ils disponibles sur le site ?;هل تتوفر خدمات البحث عن العائلة في الموقع؟
Organization_providing_family_tracing_services;Organization providing family tracing services;Organisation fournissant des services de recherche des familles;منظمة تقدم خدمات تتبع الأسرة
Is_Child_friendly_space_is_available_at_the_Site;Is Child-friendly space is available at the Site?;Un espace adapté aux enfants est-il disponible sur le site ?;هل تتوفر مساحة صديقة للأطفال في الموقع؟
