formatted_name;icon_file_name;traffic_light_name;thematic_label_en;thematic_label_fr;thematic_label_ar
group_general_info;About;;General;Général;عام
group_partner;Partnership;;Who is doing what ?;Qui fait quoi ?;من يفعل ماذا ؟
group_protection;Protection;;Protection;Protection;حماية
group_shelternfi;Shelter;;Shelter - NFI;Abris - NFI;المأوى - المواد غير الغذائية
group_nutrition;Nutrition;;Nutrition;Nutrition;تَغذِيَة
group_vulpop;Elderly;;Vulnerable population;Population vulnérable;السكان الضعفاء
group_cccm;Camp-Coordination-and-Camp-Management;;Site Management;Gestion du site;إدارة الموقع
group_wash;Water-Sanitation-and-Hygiene;;Water, sanitation and hygiene;Eau, assainissement et hygiène;المياه والصرف الصحي والنظافة
group_health;Health;;Health;Santé;صحة
group_nonfood;Non-food-items;;Non-food items;Articles non alimentaires;المواد غير الغذائية
group_com;Public-information;;Communication;Communication;تواصل
group_covid;COVID-19;;COVID-19;COVID-19;كوفيد-19
