field_name;field_label_en;field_label_sk
today;Date of report:;Dátum správy:
region;Region:;Kraj:
district;District:;Okres:
site_name;Site Name:;Názov centra:
site_management;Site Management:;Spravuje dané centrum
site_ownership;Site Ownership:;Vlastnícky status tohto centra:
site_typology;Site Typology:;Typ centra:
building_type;Building Type:;Typ budovy centra:
site_staff;Volunteers managing this site?;Centrum riadené zamestnancami a/alebo dobrovoľníkmi?
site_staff_female_concerns;Women prioritized for sensitive roles:;Sú ženy uprednostňované pre citlivé úlohy:
site_capacity;Site Capacity:;Lôžková kapacita centra
hh_site;Households at the Site:;Domácností v súčasnosti ubytovaných v centre:
How_many_people_are_te_dissagregated_by_child_ind_male;Child male:;Dieťa muž:
How_many_people_are_te_dissagregated_by_child_ind_female;Child female:;Dieťa žena:
How_many_people_are_te_dissagregated_by_child_ind_nonb;Child non binary:;Dieťa nebinárne:
How_many_people_are_te_dissagregated_by_adults_ind_male;Adults male:;Dospelí muži:
How_many_people_are_te_dissagregated_by_adults_ind_female;Adults female:;Dospelé ženy:
How_many_people_are_te_dissagregated_by_adults_ind_nonb;Adults non binary:;Dospelí nebinárne:
How_many_people_are_te_dissagregated_by_older_ind_male;Older male:;Starší muž:
How_many_people_are_te_dissagregated_by_older_ind_female;Older female:;Staršia žena:
How_many_people_are_te_dissagregated_by_older_ind_nonb;Older non binary:;Staršie nebinárne:
site_purpose;Site Purpose:;Na čo slúži toto centrum?
geographic_context;Geographic Context:;Geografický kontext:
site_duration;Duration of the site for the purpose of accommodating Ukranian refugees:;Trvanie centra:
vulnerable_groups;Vulnerable groups present at the site:;Zraniteľné skupiny aktuálne nachádzajú v centre:
referal_system;Referral system available for services for people with specific medical needs at the site:;Systém služieb pre ľudí so špeciálnymi zdravotnými potrebami:
referal_system_mechanisms;Referal system mechanisms available:;Dostupné mechanizmy systému odporúčaní:
stay_duration;Stay duration:;Ako dlho zvyčajne ľudia zostávajú v tomto centre?
needs_items_needs_foodadults_needs_foodadults;Food for adults available at the site:;Potravinové produkty pre dospelých:
needs_items_needs_foodbabies_needs_foodadults;Food for babies available at the site:;Potravinové produkty pre bábätká:
needs_items_needs_hotmeals_needs_foodadults;Hotmeals available at the site:;Teplé jedlá:
needs_items_needs_kitchen_needs_foodadults;Kitchen available at the site:;Kuchynské zariadenie a potreby na varenie:
needs_items_needs_sleepingitems_needs_foodadults;Sleeping items available at the site:;Pomôcky určené na spanie
needs_items_needs_hygieneitems_needs_foodadults;Hygiene items available at the site:;Hygienické potreby
needs_items_needs_cleaningitems_needs_foodadults;Cleaning items available at the site:;Čistiace potreby
needs_items_needs_suppliesinfants_needs_foodadults;Supplies for infants available at the site:;Potreby pre malé deti a batoľatá
needs_items_needs_supplieschild_needs_foodadults;Supplies for children available at the site:;Pomôcky do priestorov vhodných pre deti
needs_items_needs_clothesforchildren_needs_foodadults;Clothes for children available at the site:;Oblečenie pre deti
needs_items_needs_clothesforadults_needs_foodadults;Clothes for adults available at the site:;Oblečenie pre dospelých
needs_items_needs_babycots_needs_foodadults;Babycots available at the site:;Detské postieľky
needs_items_needs_firstaid_needs_foodadults;Firstaid medical kits available at the site:;Zdravotnícke pomôcky pre prvú pomoc
needs_items_needs_suppliesolder_needs_foodadults;Supplies for older persons available at the site:;Pomôcky pre staršie osoby a osoby so zdravotným znevýhodnením
number_meals;Number of meals provided at this site per day:;Koľko jedál denne sa poskytuje v tomto centre?
site_accessible_disabilities;Site accessible for persons with disabilities:;Potreby centra: prístupnosť pre osoby so zdravotným znevýhodnením a staršie osoby
site_need_disabilities_fixes;Site requires to be adapted to facilitate accesibility:;Vyžaduje si toto centrum prispôsobenie, aby bolo prístupné starším osobám a ľuďom so zdravotným znevýhodnením?
site_need_education_supplies;Site needs education supplies:;Potrebuje toto centrum nejaké vzdelávacie pomôcky?
site_need_education_supplies_items;Education supply needs at the site:;Ak áno, aký typ vzdelávacích pomôcok by potrebovalo?
shower_facillities;Shower facillities available at the site:;Má toto centrum sprchy?
shower_facilities_g_separated;Shower facilities separated by gender:;Ak áno, sú oddelené podľa pohlavia?
shower_facilities_disabilities;Shower facilities accessible for persons with disabilities:;Ak áno, sú sprchy prístupné aj pre ľudí so zdravotným znevýhodnením?
toilet_g_separated;Toilets separated by gender:;Sú toalety oddelené podľa pohlavia?
toilet_disabilities;Toilets accessible for persons with disabilities:;Sú toalety prístupné pre ľudí so zdravotným znevýhodnením?
toilet_status_clean;Shower and toilet facilities regularly cleaned:;Sú všetky tieto zariadenia pravidelne čistené?
