formatted_name;icon_file_name;traffic_light_name;thematic_label_en;thematic_label_sk
group_general_info;About;;General;Všeobecné
group_siteinfo;Tent;;Site information;Informácie o lokalite
group_demo;People-in-need;;Demographic distribution;Demografické rozdelenie
group_protection;Protection;;Protection;Ochrana
group_shelternfi;Shelter;;Shelter - NFI;Prístrešie - NFI
group_wash;Water-Sanitation-and-Hygiene;;Water, sanitation and hygiene;Voda, sanitácia a hygiena
group_fs;Food-Security;;Food Security;Potravinová bezpečnosť
group_health;Health;;Health;Zdravie
group_education;Education;;Education;Vzdelávanie
group_com;Public-information;;Communication;Komunikácia
group_livelihoods;Livelihood;;Livelihood;Živobytie
group_logistics;Logistics;;Logistics;Logistika
