field_name;field_label_en;field_label_ar
STATE;STATE;حالة
ZONE;ZONE;منطقة
SITE_CODE;Site Code;رمز الموقع
SITE_NAME;Site Name;اسم الموقع
Latitude;Latitude;خط العرض
Longitude;Longitude;خط الطول
openning_date;Openning Date;تاريخ الافتتاح
assessment_date;Assessment Date;تاريخ التقييم
HOUSEHOLDS;HOUSEHOLDS;عائلات
INDIVIDUAL;INDIVIDUAL;فرد
Access_to_the_site_from_the_Center_of_AgGeneina_town;Access to the site from the Center of AgGeneina town;الوصول إلى الموقع من مركز بلدة أجينينة
Site_Typology;Site_Typology;تصنيف الموقع
Settle_authorization;Settle authorization;إذن التسوية
functionnal_SMC;Is there a functionnal site management committee (SMC) on site including IDP community members?;هل هناك لجنة إدارة موقع وظيفية (SMC) في الموقع بما في ذلك أعضاء مجتمع النازحين؟
Total_members_of_SMC;Total members of site management committee (SMC);إجمالي أعضاء لجنة إدارة الموقع (SMC)
Number_of_Males_in_SMC;Number of Males in site management committee SMC;عدد الذكور في لجنة ادارة الموقع SMC
Number_of_Females_in_SMC;Number of Females in site management committee SMC;عدد الاناث في لجنة ادارة الموقع SMC
list_of_IDP_representatives_by_the_government;Is there any officially list of IDP representatives provided and validated by the government (HAC)?;هل هناك أي قائمة رسمية بممثلي النازحين داخليًا مقدمة ومصدق عليها من قبل الحكومة (HAC)؟
representant_of_persons_with_disabilities_involved;Are there any representant of persons with disabilities involved in SMC ?;هل يوجد أي ممثل للأشخاص ذوي الإعاقة يشاركون في SMC؟
other_available_committees;Please specify other available committees;يرجى تحديد اللجان الأخرى المتاحة
Available_committees_Elderly_and_Disabled;Available committees/Elderly and Disabled committee;اللجان المتاحة / لجنة كبار السن والمعوقين
street_light;Is there any street light inside the site at night ?;هل يوجد أعمدة إنارة داخل الموقع ليلاً؟
number_of_functioning_street_lights;Please specify the number of functioning street lights;يرجى تحديد عدد مصابيح الشوارع العاملة
owns_the_land;Who owns the land on which the site is settled?;من يملك الأرض التي يسكن عليها الموقع؟
documentation_prove_ownership;Did you see any documentation that prove that ownership of site land ?;هل رأيت أي وثائق تثبت ملكية أرض الموقع؟
communication_to_keep_IDP_aware;Is there any communication to keep IDP aware of that site owner’s land?;هل هناك أي اتصال لإبقاء IDP على علم بأرض مالك الموقع؟
Last_physical_registration;Last physical registration on this site;آخر تسجيل مادي على هذا الموقع
registration_type;Explain the registration type;اشرح نوع التسجيل
conducted_the_registration;Who conducted the Registration;من أجرى التسجيل
complaint_mechanism;Is there any complaint mechanism on this site?;هل توجد آلية للشكوى على هذا الموقع؟
new_arrival_families_in_the_last_month;Have there been new arrival families in the last month?;هل كانت هناك عائلات قادمة جديدة في الشهر الماضي؟
specify;New Household Arrival;وصول منزلية جديدة
specify2;New Individuals Arrival;وصول أفراد جدد
families_left_the_site_in_the_last_month;Have some families left the site in the last month?;هل غادرت بعض العائلات الموقع في الشهر الماضي؟
specify3;Households Left the Site;غادرت الأسر الموقع
specify4;Individuals Left the Site;غادر الأفراد الموقع
available_shelter_types_for_IDPs;What are the available shelter types for IDPs in this site?;ما هي أنواع المأوى المتوفرة للنازحين في هذا الموقع؟
presence_of_new_arrivals_with_no_shelter;Walking around have you noticed the presence of new arrivals with no shelter?;تتجول هل لاحظت وجود وافدين جدد بلا مأوى؟
Percentage_of_shelter_having_electricity_at_night;Percentage of shelter having electricity at night;نسبة المأوى الذي يحتوي على كهرباء ليلاً
visible_emergency_damaged_shelter;Is there any visible emergency (occupied) damaged shelter that needs to be replace/repair ?;هل هناك أي مأوى ظاهر للطوارئ (مشغول) متضرر يحتاج إلى استبدال / إصلاح؟
specify_how_many;Shelter Need to be replaced / Repair;يجب استبدال المأوى / إصلاحه
not_adequate_space_to_walk_between_shelters;Are there areas where there is not adequate space to walk between shelters and other structures?;هل توجد مناطق لا توجد فيها مساحة كافية للسير بين الملاجئ والمباني الأخرى؟
NFI_assistance_on_this_site_in_the_last_one_month;Does NFI assistance take place on this site in the last one month?;هل يتم تقديم مساعدة المواد غير الغذائية على هذا الموقع في الشهر الماضي؟
how_many_households_beneficiaries_of_NFI_distribution;If yes please specify how many households’ beneficiaries of NFI distribution;إذا كانت الإجابة بنعم ، يرجى تحديد عدد المستفيدين من الأسر من توزيع المواد غير الغذائية
specify_the_last_NFI_distribution_date;If No specify the last NFI distribution date;إذا كانت الإجابة "لا" ، حدد آخر تاريخ لتوزيع المواد غير الغذائية
specify_the_most_needed_NFI_item;If last distribution date >6 months specify the most needed NFI item;إذا كان تاريخ التوزيع الأخير> 6 أشهر ، حدد العنصر غير الغذائي الأكثر حاجة
Specify_the_last_emerency_shelter_assistance_date_on_this_site;Specify the last emerency shelter assistance date on this site;حدد آخر موعد طارئ لمساعدة المأوى على هذا الموقع
