formatted_name;icon_file_name;traffic_light_name;thematic_label_en;thematic_label_uk
group_general_info;About;;General information;Загальна інформація
group_site_information;Document;mean;Site information;Інформація про МTП
group_demography;Group;mean;Demography;Демографічний профіль
group_protection;Protection;mean;Protection & Information provision;Захищеність та інфозабезпечення
group_shelter;Shelter;mean;Shelter;Проживання
group_wash;Water-source;mean;Water, sanitation and hygiene;Водопостачання, санітарія та гігієна
group_site_management;Spontaneous-site;mean;Site management;Управління МTП
group_public_services;School;mean;Availability of public services;Доступ до послуг
group_food_security;Food-Security;mean;Food Security;Продовольча безпека
group_healthcare;Health;mean;Healthcare;Охорона здоров’я
group_nonfood;Non-food-items;mean;Non-food items;Непродовольчі товари
group_winterization;Heatwave;;Winterization;Підготовка до опалювального сезону
