field_name;field_label_en;field_label_ar
reporting_month;Reporting month;شهر التقرير
hub;Hub;المحور
governorate;Governorate;المحافظة
district;District;المديرية
sub_district;Sub district;العزلة
site_name_en;Site Name;إسم الموقع
site;Site ID;رقم الموقع
site_single_clustered;Single or clustered site;هل هذا الموقع منفرد أم مُجمًّع
site_report_main_subsite;Main or subsite site;هل الموقع رئيسي أو فرعي؟
number_subsites;Number of subsites;عدد المواقع الفرعية ذكرت في هذا النموذج
name_subsites;Name of subsites;إسم المواقع الفرعية ذكرت في هذا النموذج
type_of_settlement;Type of settlement;نوع الموقع/المخيم
degree_of_urbanization;Degree of urbanization;درجة التحضّر
settlement_attributes;Settlement attributes;سمات الموقع/المخيم
site_purpose;Site purpose;الغرض من إنشاء الموقع
site_occupation_date;Site occupation date;تاريخ الإستقرار في الموقع (شهر /سنة)
land_ownership;Land ownership;ملكية الأرض
occupancy_agreement;Occupancy agreement;إتفاقية الإنشاء
isolated_location;Is the site in an isolated location;هل الموقع في موقع معزول مقارنة بأقرب مجتمع؟
smc_agency;Site Management & Coordination (SMC) Agency;وكالة تنسيق وإدارة الموقع (SMC)
smc_physical_space;Adequate physical SMC office space available?;مساحة مكتبية كافية متاحة لتنسيق وإدارة الموقع(SMC)؟
smc_stationary_mobile;Is SMC team stationary or mobile?;هل فريق تنسيق وإدارة الموقع (SMC) ثابت أم متنقل؟
smc_presence_days;How many days per week is SMC present in the site?;كم يوما في الأسبوع يتواجد فريق تنسيق وإدارة الموقع(SMC) في الموقع؟
smc_female;No. SMC Female Staff;موظفات إدارة وتنسيق الموقع الإناث
smc_male;No. SMC Male Staff;موظفوا إدارة وتنسيق الموقع الذكور
smc_total;Total number of SMC Staff;العدد الكلي لموظفي إدارة وتنسيق الموقع
smc_code_of_conduct_number;# SMC staff signed a Code of Conduct;عدد موظفي تنسيق وإدارة الموقع (SMC) الذين وقّعوا على مدونة قواعد السلوك
smc_training_number;# SMC staff completed adequate training related to their role;عدد موظفي تنسيق وإدارة الموقع (SMC) الذين أكملوا التدريب الكافي المتعلق بدورهم
camp_committee_total;# Camp Management Committee present at the site Staff;(لجنة إدارة الموقع ) عدد الاعضاء
camp_committee_female;Female;إناث
camp_committee_male;Male;ذكور
wash_committee_total;# WASH committee Staff;(لجنة كبار السن ) عدد الاعضاء
wash_committee_female;Female;إناث
wash_committee_male;Male;ذكور
health_committee_total;# Health committee Staff;(لجنة الصحة ) عدد الاعضاء
health_committee_female;Female;إناث
health_committee_male;Male;ذكور
education_committee_total;# Education committee Staff;(لجنة التعليم ) عدد الاعضاء
education_committee_female;Female;إناث
education_committee_male;Male;ذكور
fs_agriculture_committee_total;# Food security & Agriculture committee Staff;(لجنة الأمن الغذائي والزراعة ) عدد الاعضاء
fs_agriculture_committee_female;Female;إناث
fs_agriculture_committee_male;Male;ذكور
livelihoods_committee_total;# Livelihoods & business committee Staff;(لجنة سبل العيش والأعمال) عدد الاعضاء
livelihoods_committee_female;Female;إناث
livelihoods_committee_male;Male;ذكور
youth_education_committee_total;# Youth & Education committee Staff;(لجنة الشباب والتعليم ) عدد الاعضاء
youth_education_committee_female;Female;إناث
youth_education_committee_male;Male;ذكور
care_maintenance_committee_total;# Care & Maintenance committee Staff;(لجنة الرعاية والصيانة )عدد الاعضاء
care_maintenance_committee_female;Female;إناث
care_maintenance_committee_male;Male;ذكور
fire_warden_committee_total;# Fire warden Staff;(مشرف الحريق )عدد الاعضاء
fire_warden_committee_female;Female;إناث
fire_warden_committee_male;Male;ذكور
representative_persons_disability_total;# Representative for persons with disability Staff;(ممثل (ممثلون) للأشخاص ذوي الإعاقة ) عدد الاعضاء
representative_persons_disability_female;Female;إناث
representative_persons_disability_male;Male;ذكور
consultations_with_site_residents;Consultations with site residents about their needs has taken place in the last month to inform programme planning;التشاور مع سكان الموقع حول احتياجاتهم في الشهر الماضي لتوجيه تخطيط البرامج
consultations_with_site_residents_no_why;If no, why did consultations with site residents not take 
