traffic_light_name;type;value;color
yesno;string;Yes;green
yesno;string;No;red
noyes;string;Yes;red
noyes;string;No;green
occ_agree;string;verbal;orange
occ_agree;string;none;red
occ_agree;string;written;green
smc_code_of_conduct;math;>1;green
smc_code_of_conduct;math;0;red
iso_loc;string;site_is_located_within_a_community;green
iso_loc;string;site_is_located_outside_a_community;red
land_own;string;private;orange
land_own;string;disputed;red
land_own;string;public;green
sett_att;string;dispersed;orange
sett_att;string;concentrated;orange
sett_att;string;don_t_know;red
site_capa;string;overcrowded;red
site_capa;string;at_capacity;orange
site_capa;string;available_shelters_if_selected_how_many_shelters;green
site_capa;string;available_land_for_extension;green
need_hh;string;all_almost_all_households;green
need_hh;string;majority_of_households;orange
need_hh;string;half_of_households;orange
need_hh;string;few_households;red
need_hh;string;none_almost_no_households;red
need_shelter;string;all_almost_all_households;red
need_shelter;string;majority_of_households;red
need_shelter;string;half_of_households;orange
need_shelter;string;few_households;orange
need_shelter;string;none_almost_no_households;green
access_protection;string;not_accessible;red
access_protection;string;accessible;green
avg_time;string;less_than_30_minutes;green
avg_time;string;x30_60_minutes;orange
avg_time;string;more_than_60_minutes;red
avg_time;string;market_available_in_site;green
avg_time;string;no_functional_market_available_accessible;red
avg_time;string;primary_school_accessible_in_site;green
avg_time;string;secondary_school_accessible_in_site;green
avg_time;string;no_functional_primary_school_accessible_for_children_in_sites;red
avg_time;string;no_functional_secondary_school_accessible_for_children_in_sites;red
avg_time;string;static_health_facility_in_site;green
avg_time;string;mobile_health_facility_in_site;green
avg_time;string;secondary_health_facility_in_site;green
up_to_0_green;math;>0;green
up_to_0_green;math;0;red
up_to_0_red;math;>0;red
up_to_0_red;math;0;green
up_to_pct;math;<50;red
up_to_pct;math;>=50 and <80;orange
up_to_pct;math;>=80;green
pct_occ;math;<0.8;green
pct_occ;math;>=0.8 and <1;orange
pct_occ;math;>=1;red
nb_ind_vs_staff;math;>1000;red
nb_ind_vs_staff;math;<=1000;green
pct_sanitation;string;none_0_percent;red
pct_sanitation;string;few_1_25_percent;red
pct_sanitation;string;about_half_around_50_percent;orange
pct_sanitation;string;most_around_75_percent;green
pct_sanitation;string;everyone_around_100_percent;green
pct_sanitation;string;latrines_none_0_percent;red
pct_sanitation;string;latrines_few_1_25_percent;red
pct_sanitation;string;latrines_about_half_around_50_percent;orange
pct_sanitation;string;latrines_most_around_75_percent;green
pct_sanitation;string;latrines_everyone_around_100_percent;green
pct_sanitation;string;showers_none_0_percent;red
pct_sanitation;string;showers_few_1_25_percent;red
pct_sanitation;string;showers_about_half_around_50_percent;orange
pct_sanitation;string;showers_most_around_75_percent;green
pct_sanitation;string;showers_everyone_around_100_percent;green
pct_sanitation;string;all_around_100_percent;green
health_services_type;string;none_of_the_above;red
health_services_type;string;basic_primary_healthcare;green
health_services_type;string;child_healthcare;green
health_services_type;string;maternal_healthcare;green
health_services_type;string;nutrition_counselling_services;green
health_services_type;string;hiv_counselling_and_testing;green
damage;string;no_damage_injuries;green
damage;string;limited_damage_minor_injuries;orange
damage;string;medium_damage_injuries;red
damage;string;excessive_damage_critical_injuries_death;red
flood_exposure;string;low_no_flooding_events_reported_in_the_last_two_years;green
flood_exposure;string;medium;orange
flood_exposure;string;high;red
flood_exposure;string;very_high_multiple_flooding_events;red
frequency_updating;string;weekly;green
frequency_updating;string;bi_weekly;green
frequency_updating;string;monthly;red
frequency_updating;string;bi_monthly;orange
frequency_updating;string;Upon_arrival_of_new_IDPs_in_site;orange
methodology_demo;string;counting;green
methodology_demo;string;estimation;red
source_demo;string;government_authorities;green
source_demo;string;ngo_un_agency;green
source_demo;string;smc_team;green
source_demo;string;community_representative;green
water_com;string;present_and_equipped_with_tools_for_maintenance;green
water_com;string;present_but_not_equipped_with_tools_for_maintenance;orange
water_com;string;non_existent;red
pct_school;math;<50;red
pct_school;math;>=50 and <90;orange
pct_school;math;>=90;green
info_board;math;<1;red
info_board;math;>=1;green
ind_per_latrines_showers;math;<=20;green
ind_per_latrines_showers;math;>20;red
